순번,영상 제목,URL,썸네일 주소
1,"[땅우양] 상위구간도 양학해버리는 미스 포츈 템트리 이거 진짜 ㄹㅇ 꿀 빠셔야 합니다..!!【원딜 강의】【전프로원딜】【챌린저 원딜】【미스 포츈】",https://www.youtube.com/watch?v=TCNVHCCXYwY,https://i.ytimg.com/vi/TCNVHCCXYwY/hqdefault.jpg
2,"잘 봤다 Bin 이제 내 차례다",https://www.youtube.com/watch?v=VFPqk260TXA,https://i.ytimg.com/vi/VFPqk260TXA/hqdefault.jpg
3,"""왜 딜량이 항상 꼴찌에요? Lck 우승보다 더 힘든 이상호 교육에 결국 포기해버린 피넛..!",https://www.youtube.com/watch?v=2EvajyWzz9Y,https://i.ytimg.com/vi/2EvajyWzz9Y/hqdefault.jpg
4,"[LOL] 프레이 바루스 : 수환아 살살하자~ (Feat. HLE Delight  T1 Peyz)",https://www.youtube.com/watch?v=T8oYZFwDpXA,https://i.ytimg.com/vi/T8oYZFwDpXA/hqdefault.jpg
5,"[SMTM12/11회] ♬Animal (Feat. E SENS) - 나우아임영 @세미파이널 | Mnet 260326 방송",https://www.youtube.com/watch?v=rG5ZEbqCIXI,https://i.ytimg.com/vi/rG5ZEbqCIXI/hqdefault.jpg
6,"Mnet [쇼미더머니3] Ep.10 : 아이언 - 독기 @Semi-Final",https://www.youtube.com/watch?v=ctYkpf1Kntw,https://i.ytimg.com/vi/ctYkpf1Kntw/hqdefault.jpg
7,"[ENG sub] Show Me The Money777 [9회] 루피 - ′NoNo′ (Feat. 사이먼 도미닉) (Prod. 코드 쿤스트) @세미 파이널 181102 EP.9",https://www.youtube.com/watch?v=fU5ohmehcfk,https://i.ytimg.com/vi/fU5ohmehcfk/hqdefault.jpg
8,"[ENG] SMTM9 [9회] '시청률을 담당하는 게 누구?' 악역 (Feat. 이하이  사이먼 도미닉) - 스윙스 @세미파이널 EP.9 201211 | Mnet 201211 방송",https://www.youtube.com/watch?v=3ZkKBWEMP1A,https://i.ytimg.com/vi/3ZkKBWEMP1A/hqdefault.jpg
9,"[SMTM4] Black Nut(feat.Jessi) – ‘What I can Do’ @ Semi Final EP.09",https://www.youtube.com/watch?v=j32Pi05hRdo,https://i.ytimg.com/vi/j32Pi05hRdo/hqdefault.jpg
10,"[땅우양] 대회 경기분석하다가 처음으로 화났습니다..【원딜 강의】【전프로원딜】【프로게이머 분석】",https://www.youtube.com/watch?v=3_SbiF8qoRo,https://i.ytimg.com/vi/3_SbiF8qoRo/hqdefault.jpg
11,"""제가 리플리 증후군이요?"" 계속된 연패로 망상까지 해버리는 이상호의 충격적인 병명..?",https://www.youtube.com/watch?v=cKpBAmaM--w,https://i.ytimg.com/vi/cKpBAmaM--w/hqdefault.jpg
12,"봄에 듣기 좋은 노래 베스트100 🌸 BEST TOP 100 베스트 발라드 모음 🌸 루종일 틀어놓으면 다 잘 될 것 같은 국내 노래모음 플레",https://www.youtube.com/watch?v=MuLcNlSza5E,https://i.ytimg.com/vi/MuLcNlSza5E/hqdefault.jpg
13,"새로운 AI 기억력 진화 기술 등장!  모든 기운이 메모리  Agentic AI로 | 기존 RAG와는 다른 Supermemory ASMR 메모리 티어링과 다른 점",https://www.youtube.com/watch?v=gfrLJxuX_aA,https://i.ytimg.com/vi/gfrLJxuX_aA/hqdefault.jpg
14,"[#2024MAMA] G-DRAGON - 무제(Untitled  2014)+POWER+HOME SWEET HOME+뱅뱅뱅+FANTASTIC BABY | Mnet 241123 방송",https://www.youtube.com/watch?v=Ox29z5Nf1Uk,https://i.ytimg.com/vi/Ox29z5Nf1Uk/hqdefault.jpg
15,"[ENG] [SMTM10/9회] ♬ 호우주의 (Feat. 개코  넉살 (Nucksal)) - 조광일 @세미파이널 | Mnet 211126 방송",https://www.youtube.com/watch?v=JRI3i-56VCg,https://i.ytimg.com/vi/JRI3i-56VCg/hqdefault.jpg
16,"[ENG] [#SMTM11/9회] '틀렸던 나를 특별했던 나로' ♬ 미운오리새끼 (Feat. 선우정아  BOBBY) - 허성현 @세미파이널　#쇼미더머니11 EP.9 | Mnet",https://www.youtube.com/watch?v=n1mGesKLMzQ,https://i.ytimg.com/vi/n1mGesKLMzQ/hqdefault.jpg
17,"LOV3 (Feat. Bryan Chase  Okasian) (LOV3 (Feat. Bryan Chase  Okasian))",https://www.youtube.com/watch?v=7mjg-7ibaQA,https://i.ytimg.com/vi/7mjg-7ibaQA/hqdefault.jpg
18,"[ENG] [#SMTM11/6회] ♬ 위하여(We Higher) (Feat. 릴보이) - 블라세  노윤하  폴로다레드  칠린호미  플리키뱅 #쇼미더머니11 EP.6 |",https://www.youtube.com/watch?v=m9P-X-mtgwc,https://i.ytimg.com/vi/m9P-X-mtgwc/hqdefault.jpg
19,"Mnet [쇼미더머니3] Ep.09 : BOBBY(바비) - 연결 고리 # 힙합 @ SEMI-FINAL",https://www.youtube.com/watch?v=qsUA0w6uYEE,https://i.ytimg.com/vi/qsUA0w6uYEE/hqdefault.jpg
20,"[SMTM12/10회] 런웨이가 생각나는 ♬KISS KISS KISS (Feat. 선우 (THE BOYZ)) - 나우아임영 & Royal 44 @본선 | Mnet 260319 방송",https://www.youtube.com/watch?v=KKrLINa-Ggw,https://i.ytimg.com/vi/KKrLINa-Ggw/hqdefault.jpg
21,"HOME HOME",https://www.youtube.com/watch?v=R29yzM1BN7o,https://i.ytimg.com/vi/R29yzM1BN7o/hqdefault.jpg
22,"ZICO  Crush - 'Yin and Yang (FANXY CHILD Ver.)(Feat. DEAN  PENOMECO)' Visualizer",https://www.youtube.com/watch?v=oyXx7MDqZ-Q,https://i.ytimg.com/vi/oyXx7MDqZ-Q/hqdefault.jpg
23,"[LOL] 프레이 시비르 : 혼자서 3명 상대하는 오만 시비르",https://www.youtube.com/watch?v=lABfsfPG3hE,https://i.ytimg.com/vi/lABfsfPG3hE/hqdefault.jpg
24,"[LOL] 프레이 바루스 : G2 한스사마의 그 템트리",https://www.youtube.com/watch?v=KYAbyhPDvdM,https://i.ytimg.com/vi/KYAbyhPDvdM/hqdefault.jpg
25,"앞으로 말 조심 하겠습니다....",https://www.youtube.com/watch?v=S0tUGBxyxDY,https://i.ytimg.com/vi/S0tUGBxyxDY/hqdefault.jpg
26,"""이번 시즌 점수 못 올리면 바보라던데? ㅋㅋ"" 돌아온 에메의 왕이시여..!",https://www.youtube.com/watch?v=-7LrhsMpPFk,https://i.ytimg.com/vi/-7LrhsMpPFk/hqdefault.jpg
27,"역대급 AD 버프먹고 평타 대신 박수치는 ""건강박수 치명타 볼리베어",https://www.youtube.com/watch?v=tvJL9S_NpHY,https://i.ytimg.com/vi/tvJL9S_NpHY/hqdefault.jpg
28,"광물이라 무시하는 유튜버들 참교육 완료",https://www.youtube.com/watch?v=QdBl6VbhHP4,https://i.ytimg.com/vi/QdBl6VbhHP4/hqdefault.jpg
29,"Why did it turn out like this | Silent Hill Inspired Ambience",https://www.youtube.com/watch?v=yHCG_HtvbvM,https://i.ytimg.com/vi/yHCG_HtvbvM/hqdefault.jpg
30,"Between Reality And Delusion | Silent Hill Inspired Ambience",https://www.youtube.com/watch?v=9zBSUERZLQA,https://i.ytimg.com/vi/9zBSUERZLQA/hqdefault.jpg
31,"잠들기 전에 보는🌙리그 오브 레전드 제드 풀 스토리",https://www.youtube.com/watch?v=REzXZWrXZLg,https://i.ytimg.com/vi/REzXZWrXZLg/hqdefault.jpg
32,"""목사님 가르침 받고 깨달았습니다"" 분노를 다스리는 법을 깨우친 이상호의 솔랭은 과연?",https://www.youtube.com/watch?v=GOzO6Tv0_y8,https://i.ytimg.com/vi/GOzO6Tv0_y8/hqdefault.jpg
33,"""현재 폼 절정입니다"" 모두가 불가능하다던 500점을 기어코 또 뚫어버린 이상호..!",https://www.youtube.com/watch?v=lnfolC4FTaw,https://i.ytimg.com/vi/lnfolC4FTaw/hqdefault.jpg
34,"이왜진;;; LCK 1군 현역 미드라이너 왔습니다;;",https://www.youtube.com/watch?v=3ObTbJgsdXE,https://i.ytimg.com/vi/3ObTbJgsdXE/hqdefault.jpg
35,"개나소나 이번 시즌 500점? 소신발언 하겠습니다",https://www.youtube.com/watch?v=a430W1KfZaY,https://i.ytimg.com/vi/a430W1KfZaY/hqdefault.jpg
36,"렐님 뭐 찍으심? (세나임) | 2026 FST 전장의 사냥개 세나 스킨 리뷰",https://www.youtube.com/watch?v=O7_quEfGnzI,https://i.ytimg.com/vi/O7_quEfGnzI/hqdefault.jpg
37,"“뒷롤 했나요?” 갑자기 10층 문 앞에 서있는 운타라",https://www.youtube.com/watch?v=wkcW7q646_A,https://i.ytimg.com/vi/wkcW7q646_A/hqdefault.jpg
38,"제발들어와서 채팅쳐주세요 같이 술먹어요..",https://www.youtube.com/watch?v=aZP321DKxHs,https://i.ytimg.com/vi/aZP321DKxHs/hqdefault.jpg
39,"네  저 티모 했습니다 🍄🍄",https://www.youtube.com/watch?v=OHhhNTosGPQ,https://i.ytimg.com/vi/OHhhNTosGPQ/hqdefault.jpg
40,"내가 들으려고 만든 빅뱅 느좋 플리",https://www.youtube.com/watch?v=ItseTvJM2B4,https://i.ytimg.com/vi/ItseTvJM2B4/hqdefault.jpg
41,"[#다시보는_고등래퍼2] 윤진영 랩 모음",https://www.youtube.com/watch?v=wQl8qMSukEM,https://i.ytimg.com/vi/wQl8qMSukEM/hqdefault.jpg
42,"[#2025MAMA] WONDER STAGE 2024 COMPILATION | ICONIC STAGE",https://www.youtube.com/watch?v=-fbdUFoY07A,https://i.ytimg.com/vi/-fbdUFoY07A/hqdefault.jpg
43,"[#다시보는_고등래퍼2] 이병재 랩 모음",https://www.youtube.com/watch?v=cXwx1q3-cks,https://i.ytimg.com/vi/cXwx1q3-cks/hqdefault.jpg
44,"지코 의문사(커맨더지코)",https://www.youtube.com/watch?v=2u6Hwx__idw,https://i.ytimg.com/vi/2u6Hwx__idw/hqdefault.jpg
45,"별 수호자 미스 포츈 (Star Guardian Miss Fortune Skin Preview)",https://www.youtube.com/watch?v=gfIcGP7YW9c,https://i.ytimg.com/vi/gfIcGP7YW9c/hqdefault.jpg
46,"도자기 미스 포츈 (Porcelain Miss Fortune Skin Preview)",https://www.youtube.com/watch?v=vvoRgbVp4f0,https://i.ytimg.com/vi/vvoRgbVp4f0/hqdefault.jpg
47,"파자마 수호자 미스포츈 (Pajama Guardian Miss Fortune Skin Preview)",https://www.youtube.com/watch?v=BkRF_fy93WI,https://i.ytimg.com/vi/BkRF_fy93WI/hqdefault.jpg
48,"🔥""Tlqkf 또 보여줘야 돼!"" : 식케이 (Sik-K)  Lil Moshpit - LOV3 (Feat. Bryan Chase  Okasian) [가사/해석/번역/Lyrics]",https://www.youtube.com/watch?v=tE_pO5b5cY4,https://i.ytimg.com/vi/tE_pO5b5cY4/hqdefault.jpg
49,"Star (Star)",https://www.youtube.com/watch?v=6PToSbyLFSk,https://i.ytimg.com/vi/6PToSbyLFSk/hqdefault.jpg
50,"HUNTR/X perform ‘Golden’ LIVE at the BAFTAs 🎤✨ (EJAE  Audrey Nuna and REI AMI) - BBC",https://www.youtube.com/watch?v=-tdLYsc-KBY,https://i.ytimg.com/vi/-tdLYsc-KBY/hqdefault.jpg
51,"'아무도 믿을 수 없다' 배신의 배신을 거듭하는 새벽 라면 실종 사건",https://www.youtube.com/watch?v=7j1B4aTl_xU,https://i.ytimg.com/vi/7j1B4aTl_xU/hqdefault.jpg
52,"내림 머리를 한다면 '이 4가지는' 꼭 아셔야 합니다.",https://www.youtube.com/watch?v=L7vl4-uY95k,https://i.ytimg.com/vi/L7vl4-uY95k/hqdefault.jpg
53,"휴식 끝내고 드디어 복귀한 티원 선수들! 연습 시작하자마자 미친 캐리 보여준 T1 페이즈",https://www.youtube.com/watch?v=Oqn-b0HwX88,https://i.ytimg.com/vi/Oqn-b0HwX88/hqdefault.jpg
54,"2027학년도 3월 더프 최초풀이 100점 (85분컷)",https://www.youtube.com/watch?v=_iI_7Pgu8fg,https://i.ytimg.com/vi/_iI_7Pgu8fg/hqdefault.jpg
55,"사냥개들 시즌2 | 공식 예고편 | 넷플릭스",https://www.youtube.com/watch?v=0iNFpKVSLX0,https://i.ytimg.com/vi/0iNFpKVSLX0/hqdefault.jpg
56,"디스전 완벽 분석 | 9화 리뷰",https://www.youtube.com/watch?v=gdROA-I1zZI,https://i.ytimg.com/vi/gdROA-I1zZI/hqdefault.jpg
57,"라쿤에 새 식구가 들어왔습니다 | 오버워치 크레이지라쿤(CR) 스토커&비질란테 인터뷰 w.준빈",https://www.youtube.com/watch?v=4Bxeo1AiKGc,https://i.ytimg.com/vi/4Bxeo1AiKGc/hqdefault.jpg
58,"SMTM9 [8회] '타올랐고 우리 둘이' 뿌리 (Feat. JUSTHIS) - 쿤디판다 @본선 EP.8 | Mnet 201204 방송",https://www.youtube.com/watch?v=UV5JOVcclIg,https://i.ytimg.com/vi/UV5JOVcclIg/hqdefault.jpg
59,"저스디스가 직접 말아주는 비하인드  | 저스디스 노래 이상형 월드컵 (with. 세우)",https://www.youtube.com/watch?v=LTFu_zq79dk,https://i.ytimg.com/vi/LTFu_zq79dk/hqdefault.jpg
60,"탑 브루저 교과서",https://www.youtube.com/watch?v=o8R1o-tDGcs,https://i.ytimg.com/vi/o8R1o-tDGcs/hqdefault.jpg
61,"골드한테 훈수 듣고 빡겜모드【솔랭내기 EP3】",https://www.youtube.com/watch?v=Jh68O30t8mk,https://i.ytimg.com/vi/Jh68O30t8mk/hqdefault.jpg
62,"[LOL] 프레이 직스 : 프로가 돼서 돌아온 스매쉬 (Feat. DK Smash)",https://www.youtube.com/watch?v=O3oB6rIlvS0,https://i.ytimg.com/vi/O3oB6rIlvS0/hqdefault.jpg
63,"show me the money6 [10회/단독] 우원재 - MOVE (feat. Bizzy)  @ 파이널 1R 170901 EP.10",https://www.youtube.com/watch?v=OgCBpmjxEuo,https://i.ytimg.com/vi/OgCBpmjxEuo/hqdefault.jpg
64,"연기경력만 300년🔥여배우들 노필터 모임🔥｜구독자 이벤트 있음",https://www.youtube.com/watch?v=Jbg-5NvkBgk,https://i.ytimg.com/vi/Jbg-5NvkBgk/hqdefault.jpg
65,"일할때 듣기좋은 발라드 추천 광고없는 노래모음🍕 집중력 UP! 일할 때 듣기 좋은 감성 노래 🍕 봄 감성이 가득하다 🌸",https://www.youtube.com/watch?v=26r_6r7idco,https://i.ytimg.com/vi/26r_6r7idco/hqdefault.jpg
66,"봄에 듣기 좋은 노래 베스트100 🌸BEST TOP 100 베스트 발라드 모음 🌸썸타고 싶도록 설레이는 핑크빛 봄노래모음",https://www.youtube.com/watch?v=qQr4RgVuuME,https://i.ytimg.com/vi/qQr4RgVuuME/hqdefault.jpg
67,"How to use Grove Sensor in HappyBrackets",https://www.youtube.com/watch?v=O5w_90oDzVs,https://i.ytimg.com/vi/O5w_90oDzVs/hqdefault.jpg
68,"PULSE Programming Guide: Introduction to the Line Finder Sensor",https://www.youtube.com/watch?v=9GHvPwT4Emc,https://i.ytimg.com/vi/9GHvPwT4Emc/hqdefault.jpg
69,"[땅우양] 원딜 밴픽률 1등 이즈리얼 강의 들어갑니다 !!【원딜 강의】【전프로원딜】【챌린저 원딜】【이즈리얼】",https://www.youtube.com/watch?v=y-N8tYM5AK4,https://i.ytimg.com/vi/y-N8tYM5AK4/hqdefault.jpg
70,"[2018 고려대/연세대 합동응원OT]  연세여 사랑한다 vs 민족의 아리아",https://www.youtube.com/watch?v=iCCFKh5g7vc,https://i.ytimg.com/vi/iCCFKh5g7vc/hqdefault.jpg
71,"[2022 합동응원] 고려대 단장이 이끄는 '하늘 끝까지' & 연세대 단장이 이끄는 'FOREVER I 포에버'   -  합응 / 고연전 / 연고전",https://www.youtube.com/watch?v=5UPafuX_msM,https://i.ytimg.com/vi/5UPafuX_msM/hqdefault.jpg
72,"[2018 연세대 아카라카] 하늘 끝까지 - 연세대학교 응원단",https://www.youtube.com/watch?v=08ah84dJEmc,https://i.ytimg.com/vi/08ah84dJEmc/hqdefault.jpg
73,"아두이노 마스터하기 [3강 기초 문법] (코딩하는아이들 기초 강의)",https://www.youtube.com/watch?v=E65b9LUewd0,https://i.ytimg.com/vi/E65b9LUewd0/hqdefault.jpg
74,"아두이노 마스터하기 [2강 아두이노 핀] (코딩하는아이들 기초 강의)",https://www.youtube.com/watch?v=UMRjUvVTeQ0,https://i.ytimg.com/vi/UMRjUvVTeQ0/hqdefault.jpg
75,"아두이노 마스터하기 [1강 아두이노란?] (코딩하는아이들 기초 강의)",https://www.youtube.com/watch?v=OxjVheMThdc,https://i.ytimg.com/vi/OxjVheMThdc/hqdefault.jpg
76,"아두이노 기초 - 처음 접하는 아두이노",https://www.youtube.com/watch?v=3e6GMI4Szwk,https://i.ytimg.com/vi/3e6GMI4Szwk/hqdefault.jpg
77,"EJAE  Audrey Nuna and Rei Ami from KPop Demon Hunters: Golden | The Tonight Show",https://www.youtube.com/watch?v=8y-ViyUk7Dk,https://i.ytimg.com/vi/8y-ViyUk7Dk/hqdefault.jpg
78,"I don't want to remember | Resident Evil Inspired Ambience",https://www.youtube.com/watch?v=6FSjdydx28Y,https://i.ytimg.com/vi/6FSjdydx28Y/hqdefault.jpg
79,"솔랭내기 중 마스터한테 혼나는 넛신..(feat 괴물쥐)",https://www.youtube.com/watch?v=fO1RRVEVh-M,https://i.ytimg.com/vi/fO1RRVEVh-M/hqdefault.jpg
80,"힐러 2명이 씹어먹고 있는 오버워치 대회...압도적인 피지컬입니다  | 오버워치 OWCS 2026 STAGE1 WEEK1 DAY3 ZETA vs FLC",https://www.youtube.com/watch?v=yaADyEjr4TI,https://i.ytimg.com/vi/yaADyEjr4TI/hqdefault.jpg
81,"[LOL] 프레이 스몰더 : 할 건 해야지? 오만 스몰더 연구소 (Feat. Smeb)",https://www.youtube.com/watch?v=j1djRkv2FhI,https://i.ytimg.com/vi/j1djRkv2FhI/hqdefault.jpg
82,"[LOL] 프레이 징크스 : 징크스는 2코어부터 시작",https://www.youtube.com/watch?v=nd-Gas8W8bc,https://i.ytimg.com/vi/nd-Gas8W8bc/hqdefault.jpg
83,"티모를 상대하는 탑 라이너가 가장 싫어하는 순간",https://www.youtube.com/watch?v=8bze3VzMVMY,https://i.ytimg.com/vi/8bze3VzMVMY/hqdefault.jpg
84,"양홍원의 킬링벌스를 라이브로! | 사계  ROSE  Citi+  25  IndiGO  Me  나쁜맛 등",https://www.youtube.com/watch?v=nKpZFe-fx2Q,https://i.ytimg.com/vi/nKpZFe-fx2Q/hqdefault.jpg
85,"[#2024MAMA] PERFORMANCE COMPILATION | G-DRAGON (수상자 역대 마마 무대 모아보기)",https://www.youtube.com/watch?v=xqdAk07lWP0,https://i.ytimg.com/vi/xqdAk07lWP0/hqdefault.jpg
86,"수퍼비의 킬링벌스를 라이브로! | Heu!  +82 Bars  5Gawd  문제아  Pass the Rhyme  공중도덕3  냉탕에상어  수퍼비와  Rap Legend 등",https://www.youtube.com/watch?v=hua6kPSuOss,https://i.ytimg.com/vi/hua6kPSuOss/hqdefault.jpg
87,"로꼬(Loco)의 킬링벌스를 라이브로! | 주지마  시차  스즈란  119 REMIX  LIKE WATER 등",https://www.youtube.com/watch?v=fWC9urxCcUk,https://i.ytimg.com/vi/fWC9urxCcUk/hqdefault.jpg
88,"BIG Naughty(서동현)의 킬링벌스를 라이브로! | 시발점 Remix  Joker  을  급SICK  The Purge  잠깐만  Frank Ocean 등",https://www.youtube.com/watch?v=u7f5oeIXi-s,https://i.ytimg.com/vi/u7f5oeIXi-s/hqdefault.jpg
89,"애쉬 아일랜드의 킬링벌스를 라이브로! / Paranoid  악몽  방에 혼자 있을 때  비워  Bition Boyz  BAND  T.T.C  Fire Fall",https://www.youtube.com/watch?v=oaynRgUBHAE,https://i.ytimg.com/vi/oaynRgUBHAE/hqdefault.jpg
90,"JUSTHIS(저스디스)의 킬링벌스를 라이브로! I IndiGO  Diablo  Gone  DF KV Freestyle  That Ain't Real 등",https://www.youtube.com/watch?v=iMTblJbmam4,https://i.ytimg.com/vi/iMTblJbmam4/hqdefault.jpg
91,"Gratata (그라타타)",https://www.youtube.com/watch?v=GCwi1XMo0pU,https://i.ytimg.com/vi/GCwi1XMo0pU/hqdefault.jpg
92,"Hollywood (Feat. JUSTHIS) (Hollywood (Feat. JUSTHIS))",https://www.youtube.com/watch?v=oeJSn5V4Egg,https://i.ytimg.com/vi/oeJSn5V4Egg/hqdefault.jpg
93,"블랙넛(Black Nut)의 킬링벌스를 라이브로! | BOMAYE  THAT'S FINE  그라타타  Watch  100 등",https://www.youtube.com/watch?v=kzWZCQzgc9g,https://i.ytimg.com/vi/kzWZCQzgc9g/hqdefault.jpg
94,"[#다시보는_고등래퍼2] 배연서(이로한) 랩 모음",https://www.youtube.com/watch?v=Nluob5Ee5hU,https://i.ytimg.com/vi/Nluob5Ee5hU/hqdefault.jpg
95,"[ENG] [SMTM9] 'VVS' (Feat. JUSTHIS) (Prod. GroovyRoom) MV - 머쉬베놈  미란이  쿤디판다  먼치맨 EP.6 201120",https://www.youtube.com/watch?v=mZInUHwmzN8,https://i.ytimg.com/vi/mZInUHwmzN8/hqdefault.jpg
96,"[SMTM12/10회] 내가 하고 싶었던 말 ♬숨 (Feat. Crush) - 김하온 @본선 | Mnet 260319 방송",https://www.youtube.com/watch?v=MXznIbmGjRU,https://i.ytimg.com/vi/MXznIbmGjRU/hqdefault.jpg
97,"[땅우양] 현 메타 다시 급부상한 원딜 애쉬 강의입니다!【원딜 강의】【전프로원딜】【챌린저 원딜】【애쉬】",https://www.youtube.com/watch?v=fz6hTy9OwFg,https://i.ytimg.com/vi/fz6hTy9OwFg/hqdefault.jpg
